customerFinder.contact.ContactMech,demo
contactMechId,contactMechTypeEnumId,infoString,trustLevelEnumId
CM1,CmtGeneralEmail,user1@samplemail.com,Unverified
CM2,CmtTelecomNumber,NULL,Incomplete
CM3,CmtPostalAddress,NULL,Verified
CM4,CmtGeneralEmail,user2@samplemail.com,Unverified
CM5,CmtTelecomNumber,NULL,Incomplete
CM6,CmtPostalAddress,NULL,Verified
CM7,CmtGeneralEmail,user3@samplemail.com,Unverified
CM8,CmtTelecomNumber,NULL,Incomplete
CM9,CmtPostalAddress,NULL,Verified
CM10,CmtGeneralEmail,user4@samplemail.com,Unverified
CM11,CmtTelecomNumber,NULL,Incomplete
CM12,CmtPostalAddress,NULL,Verified
CM13,CmtGeneralEmail,user5@samplemail.com,Unverified
CM14,CmtTelecomNumber,NULL,Incomplete
CM15,CmtPostalAddress,NULL,Verified
CM16,CmtGeneralEmail,user6@samplemail.com,Unverified
CM17,CmtTelecomNumber,NULL,Incomplete
CM18,CmtPostalAddress,NULL,Verified
CM19,CmtGeneralEmail,user7@samplemail.com,Unverified
CM20,CmtTelecomNumber,NULL,Incomplete
CM21,CmtPostalAddress,NULL,Verified
CM22,CmtGeneralEmail,user8@samplemail.com,Unverified
CM23,CmtTelecomNumber,NULL,Incomplete
CM24,CmtPostalAddress,NULL,Verified
CM25,CmtGeneralEmail,user9@samplemail.com,Unverified
CM26,CmtTelecomNumber,NULL,Incomplete
CM27,CmtPostalAddress,NULL,Verified
CM28,CmtGeneralEmail,user10@samplemail.com,Unverified
CM29,CmtTelecomNumber,NULL,Incomplete
CM30,CmtPostalAddress,NULL,Verified
CM31,CmtGeneralEmail,user11@samplemail.com,Unverified
CM32,CmtTelecomNumber,NULL,Incomplete
CM33,CmtPostalAddress,NULL,Verified
CM34,CmtGeneralEmail,user12@samplemail.com,Unverified
CM35,CmtTelecomNumber,NULL,Incomplete
CM36,CmtPostalAddress,NULL,Verified
CM37,CmtGeneralEmail,user13@samplemail.com,Unverified
CM38,CmtTelecomNumber,NULL,Incomplete
CM39,CmtPostalAddress,NULL,Verified
CM40,CmtGeneralEmail,user14@samplemail.com,Unverified
CM41,CmtTelecomNumber,NULL,Incomplete
CM42,CmtPostalAddress,NULL,Verified
CM43,CmtGeneralEmail,user15@samplemail.com,Unverified
CM44,CmtTelecomNumber,NULL,Incomplete
CM45,CmtPostalAddress,NULL,Verified
CM46,CmtGeneralEmail,user16@samplemail.com,Unverified
CM47,CmtTelecomNumber,NULL,Incomplete
CM48,CmtPostalAddress,NULL,Verified
CM49,CmtGeneralEmail,user17@samplemail.com,Unverified
CM50,CmtTelecomNumber,NULL,Incomplete
